,vid,HG03453,HG01891,HG02559,HG01978,HG00673,HG00741,HG02486,HG00735,HG01258,HG01106,HG03516,HG03579,HG01123,HG03540,HG02622,HG02717,HG01928,HG01952,HG02572,HG02148,HG01358,HG02886,HG00438,HG01175,HG02630,HG00621,HG01361,HG02257
54412,54412.0,47.0,38.0,32.0,45.0,39.0,36.0,50.0,46.0,34.0,42.0,36.0,35.0,38.0,63.0,60.0,43.0,37.0,41.0,43.0,44.0,38.0,41.0,50.0,43.0,41.0,43.0,55.0,36.0
54418,54418.0,47.0,41.0,34.0,48.0,40.0,36.0,41.0,35.0,43.0,45.0,30.0,42.0,29.0,55.0,48.0,48.0,32.0,43.0,33.0,34.0,30.0,42.0,50.0,36.0,40.0,43.0,47.0,37.0
54419,54419.0,47.0,41.0,34.0,48.0,40.0,36.0,41.0,35.0,43.0,45.0,30.0,42.0,29.0,55.0,48.0,48.0,32.0,43.0,33.0,34.0,30.0,42.0,50.0,36.0,40.0,43.0,47.0,37.0
54655,54655.0,47.0,26.0,43.0,39.0,39.0,36.0,43.0,35.0,40.0,44.0,43.0,33.0,39.0,64.0,45.0,51.0,45.0,43.0,33.0,39.0,38.0,35.0,45.0,41.0,36.0,36.0,40.0,38.0
54854,54854.0,40.0,60.0,51.0,42.0,50.0,35.0,43.0,45.0,36.0,40.0,42.0,54.0,48.0,47.0,47.0,52.0,48.0,54.0,38.0,51.0,43.0,35.0,39.0,36.0,47.0,46.0,30.0,39.0
54943,54943.0,40.0,32.0,44.0,50.0,54.0,45.0,47.0,43.0,45.0,50.0,41.0,47.0,45.0,48.0,35.0,42.0,38.0,53.0,25.0,46.0,59.0,34.0,46.0,41.0,31.0,59.0,55.0,44.0
55271,55271.0,32.0,25.0,35.0,33.0,28.0,29.0,25.0,49.0,22.0,24.0,28.0,24.0,20.0,41.0,24.0,49.0,28.0,24.0,22.0,27.0,27.0,34.0,33.0,28.0,26.0,35.0,38.0,27.0
55272,55272.0,32.0,25.0,35.0,33.0,28.0,29.0,24.0,48.0,22.0,24.0,28.0,24.0,20.0,41.0,24.0,46.0,28.0,24.0,21.0,27.0,26.0,33.0,33.0,28.0,26.0,35.0,36.0,27.0
55273,55273.0,32.0,25.0,35.0,33.0,28.0,28.0,24.0,48.0,22.0,24.0,28.0,24.0,20.0,41.0,24.0,46.0,28.0,24.0,21.0,27.0,26.0,33.0,33.0,28.0,26.0,35.0,36.0,27.0
55276,55276.0,33.0,28.0,36.0,33.0,28.0,29.0,27.0,49.0,24.0,25.0,28.0,26.0,23.0,43.0,24.0,51.0,28.0,25.0,23.0,29.0,27.0,33.0,33.0,28.0,27.0,36.0,38.0,28.0
55277,55277.0,33.0,28.0,36.0,33.0,28.0,29.0,26.0,49.0,25.0,25.0,28.0,26.0,25.0,43.0,24.0,50.0,28.0,25.0,23.0,29.0,27.0,33.0,33.0,28.0,27.0,37.0,39.0,28.0
55333,55333.0,26.0,34.0,39.0,37.0,47.0,41.0,50.0,55.0,44.0,43.0,24.0,31.0,40.0,48.0,38.0,43.0,46.0,51.0,41.0,39.0,43.0,25.0,48.0,38.0,27.0,33.0,45.0,38.0
57466,57466.0,46.0,50.0,32.0,30.0,32.0,36.0,46.0,52.0,45.0,50.0,38.0,52.0,39.0,52.0,51.0,38.0,41.0,51.0,32.0,38.0,42.0,35.0,39.0,35.0,44.0,40.0,44.0,32.0
57579,57579.0,40.0,35.0,38.0,43.0,47.0,44.0,37.0,56.0,38.0,30.0,44.0,43.0,44.0,35.0,51.0,43.0,37.0,49.0,32.0,49.0,39.0,36.0,43.0,48.0,30.0,47.0,44.0,43.0
57625,57625.0,40.0,43.0,57.0,40.0,43.0,50.0,58.0,52.0,49.0,54.0,39.0,47.0,40.0,50.0,55.0,48.0,46.0,47.0,43.0,37.0,37.0,36.0,43.0,43.0,35.0,42.0,51.0,29.0
57948,57948.0,45.0,35.0,47.0,43.0,39.0,31.0,44.0,43.0,35.0,38.0,45.0,40.0,40.0,49.0,44.0,54.0,48.0,54.0,33.0,44.0,33.0,27.0,37.0,30.0,33.0,36.0,46.0,37.0
57950,57950.0,45.0,35.0,46.0,44.0,40.0,31.0,44.0,43.0,34.0,38.0,44.0,39.0,40.0,49.0,43.0,55.0,49.0,53.0,35.0,44.0,33.0,27.0,37.0,30.0,33.0,36.0,45.0,38.0
58917,58917.0,50.0,30.0,0.0,58.0,43.0,37.0,18.0,41.0,43.0,40.0,31.0,33.0,38.0,19.0,46.0,51.0,50.0,59.0,34.0,39.0,42.0,25.0,52.0,37.0,33.0,46.0,45.0,39.0
